,Name,Temp,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Vaini,64.36,0,IN,2019-12-30,85,15.34,74.49,64.36,2.75
1,Kapaa,77.9,90,US,2019-12-30,74,22.08,-159.32,78.8,14.99
2,Provideniya,-5.8,0,RU,2019-12-30,63,64.42,-173.23,-5.8,20.13
3,Egvekinot,-26.77,0,RU,2019-12-30,87,66.32,-179.17,-26.77,7.76
4,Pangai,80.98,100,TO,2019-12-30,82,-19.8,-174.35,80.98,32.7
5,Alofi,81.07,67,NU,2019-12-30,84,-19.06,-169.92,81.07,16.89
6,Bethel,-12.89,1,US,2019-12-30,83,60.79,-161.76,-7.6,5.82
7,Lavrentiya,-21.06,0,RU,2019-12-30,85,65.58,-170.99,-21.06,13.42
8,Mataura,55.99,21,NZ,2019-12-30,89,-46.19,168.86,55.99,1.99
9,Avarua,77.0,100,CK,2019-12-30,78,-21.21,-159.78,77.0,4.7
10,Makakilo City,78.15,20,US,2019-12-30,57,21.35,-158.09,79.0,13.87
11,Nome,59.94,1,US,2019-12-30,42,30.04,-94.42,63.0,10.29
12,Barrow,73.54,100,AR,2019-12-30,80,-38.31,-60.23,73.54,12.71
13,Faanui,81.09,100,PF,2019-12-30,77,-16.48,-151.75,81.09,14.25
14,Hilo,72.3,20,US,2019-12-30,69,19.71,-155.08,73.99,5.82
15,Ewa Beach,78.17,20,US,2019-12-30,57,21.32,-158.01,79.0,13.87
16,Kodiak,30.94,90,US,2019-12-30,74,39.95,-94.76,33.01,25.28
17,Avera,65.53,1,US,2019-12-30,48,33.19,-82.53,66.99,10.29
18,Kahului,73.96,1,US,2019-12-30,64,20.89,-156.47,77.0,25.08
19,Ahuimanu,78.57,40,US,2019-12-30,65,21.44,-157.84,80.01,9.17
20,Kenai,31.84,40,US,2019-12-30,84,60.55,-151.26,33.01,14.99
21,Teahupoo,84.09,75,PF,2019-12-30,66,-17.83,-149.27,84.2,14.99
